puzzleId,title,identifiers
2972,Fences for Fido and Friends,"6.G.A.1,7.G.B.6,HSA.SSE.A.1"
1129,"Chocolate, Orange, Mega-mint Swirl","6.G.A.2,8.G.C.9"
1166,Graphing for Area,"6.G.A.3,7.G.B.6,HSA.SSE.A.1"
2042,Coding Conundrums,"6.NS.B,HSA.SSE.A.1.a"
2960,Divisible by a Dozen,"6.NS.B,HSA.SSE.A.1.a"
566,Coin Count,"6.NS.B.3,6.EE.B,7.NS.A.1,7.EE.B.4,8.EE.C"
374,Guess My Number If You Can!,"6.NS.B.4,7.EE.B.3,8.EE.A.2"
625,My Almond Cookie Bake,"6.NS.B.4,7.NS.A.2,7.NS.A.3,7.EE.B.3,8.EE.A.2"
362,Open and Shut Case,"6.NS.B.4,8.EE.A.2"
2900,Graphs,"6.NS.C.6,7.RP.A.2,8.F.B.4"
3668,Cadence,"6.RP.A,7.RP.A,8.EE.B.5"
3044,Garden Grove,"6.RP.A.1,6.G.A.2,7.G.B.6,8.G.C.9"
1778,Batter Up!,"6.RP.A.3,6.SP.A.3,6.SP.B.5,7.RP.A.3,7.NS.A.3,8.EE.B.6"
962,Downhill All the Way,"6.RP.A.3,7.NS.A.3,8.EE.B.6"
1526,Dishwasher Discounts,"6.RP.A.3,7.RP.A.3,7.NS.A.1,7.NS.A.2,8.EE.B.6"
1214,Do you listen to WMTH or WALG?,"6.RP.A.3,7.RP.A.3,7.NS.A.3,8.EE.B.6"
3140,All the Similar Triangles,"6.RP.A.3,8.G.A.1"
3176,Reversal of Ages,"7.EE.B.3,HSA.CED.A.2,HSA.REI.A.1"
5120,Caliyah's Cart,"7.EE.B.4.b,HSA.REI.D.12"
674,How Wide Is My Garden?,"7.G.A.1,8.G.A.1"
2030,Dividing Daffodils,"7.G.A.1,HSG.MG.A.3"
3272,"Right Triangle, Which Legs?","7.G.A.2,8.G.B.7"
4004,Cyndy's Curtains,"7.NS.A,7.EE.B.3,HSN.Q.A"
734,Even Number Puzzle,"7.NS.A.3,HSN.Q.A"
398,Locker Combinations,"7.NS.A.3,HSN.Q.A"
506,"Runsums, Part 1","7.NS.A.3,HSN.Q.A"
518,"Runsums, Part 2","7.NS.A.3,HSN.Q.A"
638,Seating Arrangements,"7.NS.A.3,HSN.Q.A"
3992,Stina's Hike,"7.RP.A.1,8.EE.B.5"
4112,Radical Darts,8.EE.A.2
2984,Ready for Football?,8.EE.A.2
1322,Scientific Sums,"8.EE.A.3,8.EE.A.4"
2816,The Scientific Notation Game,8.EE.A.4
1298,Study Hall Games,"8.EE.C.8,HSA.CED.A.2"
1262,The Graduating Class,"8.EE.C.8,HSA.CED.A.2"
17056,Account Balances,8.F.B.4
4016,Coloring a Hexagon,8.G.A.1
3620,Paving Stones,8.G.A.1
2006,Tiling Triangles,8.G.A.1
3320,Twisting Carpet Tiles,8.G.A.3
1046,The Big Picture!,8.G.A.4
914,Canadian Soccer,8.G.B.7
16984,Shortcut Savings,8.G.B.7
3663,Exploding Shapes,8.G.A.3
4119,Similar Perimeter,8.G.A.3
3351,Triangle in Motion?,8.G.A.3
2751,Triangle Transformation,8.G.A.3
17063,A Picturesque Pythagorean Proof,8.G.B.6
4539,Boxing Up Harry's Broom,8.G.B.7
5247,Snail's Trail,8.G.B.7
3255,TV Dimensions,8.G.B.7
3387,Four Point Puzzle,8.G.B.8
5235,The Coordinated Quadrilateral,8.G.B.8
4575,Lotsa Popcorn!,8.G.C.9
1623,The Sun vs. The Earth,8.G.C.9
16027,"Well, Well, Well",8.G.C.9
5308,The ABCs of Exponents,"HSA.SSE.B,HSA.CED.A.3,HSA.CED.A.4"
4672,Alvin's Theorem,"HSA.SSE.A.2,HSA.CED.A.2,HSA.CED.A.3"
16012,Apple Orchard,"7.RP.A.1,7.RP.A.2,HSA.CED.A.1,HSA.CED.A.2,HSA.REI.C.5"
17024,Are You Positive?,"HSA.SSE.A.2,HSA.SSE.B.3"
3520,Are You Ready for Some Football?,"8.EE.C.7,HSA.CED.A.1"
4504,Baffling Brother,"7.EE.B.3,HSA.REI.A.1"
3172,Battle of the Bands,"8.EE.C.7,HSA.CED.A.3,HSA.REI.A.1"
5284,Bouncing Ball,"8.EE.C.7,HSA.SSE.B.3,HSA.APR.D.6,HSA.CED.A.3,HSA.CED.A.4"
3220,Bowling Buddies,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.2"
4528,Boxes of Cereal,"HSA.CED.A.1,HSA.REI.A.1,HSA.REI.B.3"
17043,Building a Bakery,"HSA.CED.A.1,HSA.SSE.B.3"
3352,Buried Treasure,"HSA.CED.A.1,HSA.CED.A.3,HSA.REI.B.3"
3916,Calendar Calculations,"8.EE.C.8.b,HSA.REI.A.1,HSA.REI.C.6"
5164,A Championship Season,"8.EE.C.7,HSA.CED.A.1"
4084,Cheap Sunglasses,"HSA.SSE.B.3,HSF.IF.C.8,HSF.IF.C.8.b"
3016,Cherokee Creek Checkers Club,"8.EE.C.7,HSA.CED.A.1"
3724,The Coordinate Carousel,"HSA.CED.A.3,HSA.REI.C.6"
3040,Count Your Change,"7.RP.A.3,HSA.CED.A.1"
4648,Crossed Wires,"HSA.CED.A.1,HSA.CED.A.2,HSA.REI.C.6"
556,The Custom of Customs,"8.EE.C.8.c,HSA.CED.A.2,HSA.REI.B.3"
3952,Dinner at Pepe's,"8.EE.C.7,HSA.CED.A.1,HSA.REI.A.1"
736,Don't Be Square,HSA.CED.A.4
5116,Eating Contest,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.2,HSA.REI.A.1,HSA.REI.B.3"
16005,Eduardo's Equation Challenge,"8.EE.C.7,HSA.SSE.A.2,HSA.SSE.B.3"
3940,Examining the Equation,"8.EE.C.7,HSA.CED.A.4"
5320,Factor Bingo,"HSA.SSE.A.2,HSA.SSE.B.3"
4696,Family Fun,"HSA.CED.A.2,HSA.CED.A.3,HSA.REI.C.6"
5296,Field Trip,"8.EE.C.7,HSA.SSE.B.3,HSA.CED.A.1,HSA.CED.A.2,HSA.CED.A.3"
5104,Filling Glasses,"8.F.B.4,HSA.SSE.A.1.a,HSF.IF.B.6"
4576,Flying off the Shelves,"8.EE.C.7,HSA.CED.A.1,HSA.CED.A.3"
17060,Fraction Action,"8.EE.C.7,HSA.SSE.A.2,HSA.APR.D.6,HSA.CED.A.4"
5260,Fraction Debate,"8.EE.C.7,HSA.SSE.B.3"
4000,From Here to There,"7.EE.A.1,7.EE.B.3,HSA.SSE.A.1"
4096,The Great Northern Triathlon,"HSA.APR.D.6,HSA.CED.A.3,HSA.CED.A.4"
3604,Heating the Tub,"HSA.CED.A.2,HSA.REI.B.3"
5176,How Many Ties?,"8.EE.C.7,HSA.CED.A.1,HSA.REI.A.1,HSA.REI.B.3"
3316,Johnny's Orchards,"8.EE.C.7,HSA.CED.A.3,HSA.REI.C.6"
3148,The Joke,"HSA.SSE.B.3,HSA.SSE.B.3.c,HSA.CED.A.1"
2704,Kristina's Code,"8.EE.C.8.b,HSA.REI.A.1,HSA.REI.C.6"
