puzzleId,title,identifiers
17066,Clock Work,"3.OA,4.OA.A.2,4.OA.A.3,5.OA.A.2"
4099,Buy the Numbers,"3.OA,4.OA.A.3,4.NBT.A.1,5.NBT.A.1"
4663,Marble Mayhem,"3.OA.A,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.B.4,4.OA.A.3,5.OA.A.2"
17069,Missing Pages,"3.OA.A,3.OA.D.8,4.OA.A.2,4.OA.A.3,5.OA.A.2"
4003,Pizza Dough,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.NBT.B.6,4.NF.B.4,5.NF.A.2,5.NF.B.4,5.NF.B.6"
589,The Math Teacher's Ties,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.A.3,5.OA.A.2"
5155,Wooden Legs,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.B.4,4.OA.C.5,,5.OA.A.2"
5119,You Think Your Teacher is Tough!,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,5.OA.A.2"
5191,Rugby Rules!,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.A.3,5.OA.A.2"
3727,Pirate Treasure,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.C.5,4.OA.A.3,5.OA.A.2"
4579,Shopping at the School Store,"3.OA.A.3,3.OA.D.8,3.MD.C.7.c,4.OA.A.2,4.MD.A.2,5.OA.A.2"
3691,How Old Is Dad?,"3.OA.A.3,3.OA.D.8,4.OA.A,5.OA.A.2"
4567,Miracle Miranda and the Mascot,"3.OA.A.3,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.C.5,5.OA.A.2"
4111,Just the Facts,"3.OA.A.3,3.OA.D.8,4.OA.A.3,4.NBT.B.5,5.OA.A.2"
5323,"Moons, by Jove!","3.OA.A.3,3.OA.D.8,4.OA.A.3,4.OA.B.4,5.OA.A.2"
16002,Pooling Tips,"3.OA.A.3,3.OA.D.8,4.OA.A.3,5.OA.A.2"
16989,Holiday Ornaments,"3.OA.A.3,3.OA.D.8,4.OA.A.3,5.OA.A.2"
1357,Alien Operations,"3.OA.A.4,5.OA.A.1"
1369,Borrowed Books,"3.OA.A.4,5.OA.A.1"
565,Magic Square Jumble,"3.OA.D.8,3.NBT.A.2,4.OA.A.3,4.NBT.B.4,5.OA.A.2"
4615,Sharing Smelt,"3.OA.B.6,3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.C.5,4.OA.A.3,5.OA.A.2"
1897,Video Viewing,"3.OA.C.7,3.G.A.2,4.NBT.B.5,4.NF.B.4.c,5.NF.B.4.a,5.NF.B.4.b,5.NF.B.6"
2839,Horton's Clover Hunt,"3.OA.C.7,3.MD.A.1,4.OA.A.3,5.OA.A.2"
337,Penny Space,"3.OA.C.7,3.MD.A.2,5.MD.C.4,5.MD.C.5"
1549,Pushing Pennies,"3.OA.C.7,3.MD.C.5,3.MD.C.7,4.MD.A.3,5.NBT.A.4,5.NBT.B.6"
793,Rabbit's Run,"3.OA.C.7,3.MD.D.8,4.OA.B.4,4.NBT.B.5,4.MD.A.3,4.OA.A.3,5.OA.A.2"
1429,Special Stars,"3.OA.C.7,3.NBT.A.1,4.NBT.B.5,5.NBT.B.5"
3979,Math Club Field Trip,"3.OA.C.7,3.NBT.A.2,4.NBT.B,4.OA.A.3,5.OA.A.2"
